+===============================+===================+============================================================+
| Launch Setup Clock            | Launch Hold Clock | Pin                                                        |
+===============================+===================+============================================================+
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[21]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[25]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[26]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[29]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[19]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[31]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[28]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[30]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[24]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[12]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[22]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[27]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[13]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[8]/D             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[23]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[18]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[5]/D             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[7]/D             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[9]/D             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[14]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[10]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[3]/D             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[20]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[16]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[11]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[6]/D             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[15]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[17]/D            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[4]/D             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[2]/D             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[1]/D             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[0]/D             |
| clk_out1_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/ClockDivider_1/inst/clkstate_reg__0/D           |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[12]/R            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[13]/R            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[14]/R            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[15]/R            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[9]/R             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[10]/R            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[11]/R            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[8]/R             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[5]/R             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[6]/R             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[7]/R             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[4]/R             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[0]/R             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[3]/R             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[1]/S             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[2]/R             |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[22]/R            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[23]/R            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[20]/R            |
| clk_out4_design_1_clk_wiz_0_0 | clk_pl_0          | design_1_i/SoftwareOverride_0/inst/R4_reg[21]/R            |
